clusterName,switchName,portgroupName,addToSwitch,vlan,trunkPortgroup,trunkRange
CORK-HWI-2-C2,DVS_Cloud_VC01,DPG_Backup_MGMT,DVS_Cloud_VC01,2050,DPG_PPIND_TRUNK_MGMT,0-4094
CORK-LON-CA-C2,DVS_CORK-PAR-DR-C1,DPG_PPIND_TRUNK_MGMT,DVS_Cloud_VC01,,DPG_PPIND_TRUNK_C1,0-4094
CORK-PAR-DR-C3,DVS_CORK-PAR-DR-C2,DPG_PPIND_SiteA_UL_MGMT,DVS_Cloud_VC01,471,DPG_PPIND_TRUNK_C2,0-4094
CORK-PAR-DR-C4,DVS_CORK-PAR-DR-C3,DPG_PPIND_SiteB_UL_MGMT,DVS_Cloud_VC01,472,DPG_PPIND_TRUNK_C3,0-4094
CORK-LON-MP-C1,DVS_CORK-PAR-DR-C4,DPG_PPIND_Core_MGMT,DVS_Cloud_VC01,3750,DPG_PPIND_TRUNK_C4,0-4094
CORK-HWI-1-C1,,DPG_PPIND_ESG-DLR_MGMT,DVS_Cloud_VC01,475,,
CORK-CORK-CA-C1,,DPG_PPIND_SiteC_UL_MGMT,DVS_Cloud_VC01,473,,
CORK-HWI-2-C1,,DPG_CORK-HWI-1-C1_MGMT,DVS_Cloud_VC01,3752,,
CORK-LON-CA-C1,,DPG_PPIND_AUTO_MGMT,DVS_Cloud_VC01,3751,,
CORK-PAR-DR-C1,,DPG_CORK-HWI-2-C1_MGMT,DVS_Cloud_VC01,3753,,
CORK-CORK-MP-C2,,DPG_CORK-HWI-2-C2_MGMT,DVS_Cloud_VC01,3754,,
CORK-PAR-DR-C2,,DPG_LON_HWI-1-C1_MGMT,DVS_Cloud_VC01,3755,,
CORK-NEI,,DPG_PAR-HWI-1-C1_MGMT,DVS_Cloud_VC01,3756,,
LON-PAR-DR-C1,,DPG_CORK-LON-CA-C1_MGMT,DVS_Cloud_VC01,3757,,
LON-HWI-1-C1,,DPG_CORK-PAR-DR-C1_MGMT,DVS_Cloud_VC01,3758,,
,,DPG_CORK-PAR-DR-C2_MGMT,DVS_Cloud_VC01,3759,,
,,DPG_CORK-HWI-2-C1,DVS_CORK-PAR-DR-C1,3753,,
,,DPG_PPIND_SiteB_UL_C1,DVS_CORK-PAR-DR-C1,472,,
,,DPG_PPIND_SiteA_UL_C1,DVS_CORK-PAR-DR-C1,471,,
,,DPG_PPIND_TRUNK_C1,DVS_CORK-PAR-DR-C1,,,
,,DPG_PAR-HWI-1-C1,DVS_CORK-PAR-DR-C1,3756,,
,,DPG_LON_HWI-1-C1,DVS_CORK-PAR-DR-C1,3755,,
,,DPG_PPIND_ESG-DLR_C1,DVS_CORK-PAR-DR-C1,475,,
,,DPG_PPIND_AUTO_C1,DVS_CORK-PAR-DR-C1,3751,,
,,DPG_CORK-HWI-1-C1,DVS_CORK-PAR-DR-C1,3752,,
,,DPG_PPIND_SiteC_UL_C1,DVS_CORK-PAR-DR-C1,473,,
,,DPG_LAB_vmotion_C1,DVS_CORK-PAR-DR-C1,2070,,
,,DPG_CORK-LON-CA-C1,DVS_CORK-PAR-DR-C1,3757,,
,,DPG_CORK-PAR-DR-C1,DVS_CORK-PAR-DR-C1,3758,,
,,DPG_Backup_C1,DVS_CORK-PAR-DR-C1,2050,,
,,DPG_CORK-HWI-2-C2,DVS_CORK-PAR-DR-C2,3754,,
,,DPG_PPIND_SiteB_UL_C2,DVS_CORK-PAR-DR-C2,472,,
,,DPG_PPIND_SiteA_UL_C2,DVS_CORK-PAR-DR-C2,471,,
,,DPG_PPIND_TRUNK_C2,DVS_CORK-PAR-DR-C2,,,
,,DPG_PPIND_ESG-DLR_C2,DVS_CORK-PAR-DR-C2,475,,
,,DPG_PPIND_AUTO_C2,DVS_CORK-PAR-DR-C2,3751,,
,,DPG_LAB_VXLAN_C2,DVS_CORK-PAR-DR-C2,888,,
,,DPG_PPIND_SiteC_UL_C2,DVS_CORK-PAR-DR-C2,473,,
,,DPG_LAB_vmotion_C2,DVS_CORK-PAR-DR-C2,2070,,
,,DPG_CORK-PAR-DR-C2,DVS_CORK-PAR-DR-C2,3759,,
,,DPG_Backup_C2,DVS_CORK-PAR-DR-C2,2050,,
,,DPG_Workload,DVS_CORK-PAR-DR-C1,3700,,
,,DPG_PPIND_ESG-DLR_C3,DVS_CORK-PAR-DR-C3,475,,
,,DPG_PPIND_AUTO_C3,DVS_CORK-PAR-DR-C3,3751,,
,,DPG_LAB_VXLAN_C3,DVS_CORK-PAR-DR-C3,888,,
,,DPG_PPIND_SiteC_UL_C3,DVS_CORK-PAR-DR-C3,473,,
,,DPG_LAB_vmotion_C3,DVS_CORK-PAR-DR-C3,2070,,
,,DPG_PPIND_SiteA_UL_C3,DVS_CORK-PAR-DR-C3,471,,
,,DPG_PPIND_TRUNK_C3,DVS_CORK-PAR-DR-C3,,,
,,DPG_PPIND_SiteB_UL_C3,DVS_CORK-PAR-DR-C3,472,,
,,DPG_Backup_C3,DVS_CORK-PAR-DR-C3,2050,,
,,DPG_PPIND_ESG-DLR_C3,DVS_CORK-PAR-DR-C4,475,,
,,DPG_PPIND_AUTO_C3,DVS_CORK-PAR-DR-C4,3751,,
,,DPG_LAB_VXLAN_C4,DVS_CORK-PAR-DR-C4,888,,
,,DPG_PPIND_SiteC_UL_C4,DVS_CORK-PAR-DR-C4,473,,
,,DPG_LAB_vmotion_C4,DVS_CORK-PAR-DR-C4,2070,,
,,DPG_PPIND_SiteA_UL_C4,DVS_CORK-PAR-DR-C4,471,,
,,DPG_PPIND_TRUNK_C4,DVS_CORK-PAR-DR-C4,,,
,,DPG_PPIND_SiteB_UL_C4,DVS_CORK-PAR-DR-C4,472,,
,,DPG_Backup_C4,DVS_CORK-PAR-DR-C4,2050,,
,,DPG_CORK-PAR-DR-C4,DVS_Cloud_VC01,3703,,
,,DPG_CORK-PAR-DR-C4,DVS_CORK-PAR-DR-C4,3703,,
,,DPG_LAB_VXLAN_C4,DVS_Cloud_VC01,888,,
,,DPG_LAB_vmotion_C4,DVS_Cloud_VC01,2070,,
